NodeID,SVM_Max,X,Y,Z
306,2263.8624462523344,76.0,4.0,0.0
307,2322.7771339067917,74.0,4.0,0.0
308,2368.6905074080446,72.0,4.0,0.0
309,2401.17365001879,70.0,4.0,0.0
310,2419.8181286004005,68.0,4.0,0.0
311,2424.262266402633,66.0,4.0,0.0
312,2414.22210369486,64.0,4.0,0.0
313,2389.519501296213,62.0,4.0,0.0
314,2350.1013187458184,60.0,4.0,0.0
315,2301.529325466784,58.0,4.0,0.0
316,2244.0259826363344,56.0,4.0,0.0
317,2172.4387198734494,54.0,4.0,0.0
318,2087.0831493905016,52.0,4.0,0.0
319,1988.3169023400237,50.0,4.0,0.0
320,1876.5153360735305,48.0,4.0,0.0
321,1752.0565010163766,46.0,4.0,0.0
322,1615.318541039182,44.0,4.0,0.0
323,1466.6895438554175,42.0,4.0,0.0
324,1306.5874828180447,40.0,4.0,0.0
325,1135.4856760591354,38.0,4.0,0.0
326,953.9394496919231,36.0,4.0,0.0
327,770.6921628479322,34.0,4.0,0.0
328,586.5537763876322,32.0,4.0,0.0
329,395.1646706395495,30.0,4.0,0.0
330,253.9152032716163,28.0,4.0,0.0
331,467.46488383869246,26.0,4.0,0.0
332,691.6861853122915,24.0,4.0,0.0
333,920.6248606395945,22.0,4.0,0.0
334,1153.1877994475399,20.0,4.0,0.0
335,1388.2982884189605,18.0,4.0,0.0
336,1624.6286253995802,16.0,4.0,0.0
337,1860.4324797655574,14.0,4.0,0.0
338,2101.1235158853015,12.0,4.0,0.0
339,2340.3934549984374,10.0,4.0,0.0
340,2561.6827069827095,8.0,4.0,0.0
341,2778.7553048316863,6.0,4.0,0.0
342,2921.4641619338004,4.0,4.0,0.0
343,3408.0680163982556,2.0,4.0,0.0
344,919.0310729251071,98.0,2.0,0.0
345,1081.065800033748,96.0,2.0,0.0
346,1238.5679595032038,94.0,2.0,0.0
347,1389.8010559721083,92.0,2.0,0.0
348,1533.8199955530292,90.0,2.0,0.0
349,1669.8052281476253,88.0,2.0,0.0
350,1796.5184488811362,86.0,2.0,0.0
351,1913.221110114812,84.0,2.0,0.0
352,2019.286738114348,82.0,2.0,0.0
353,2114.327216260408,80.0,2.0,0.0
354,2197.9451740769514,78.0,2.0,0.0
355,2269.4516478969517,76.0,2.0,0.0
356,2328.4122437497194,74.0,2.0,0.0
357,2374.3913392813015,72.0,2.0,0.0
358,2406.9549351984383,70.0,2.0,0.0
359,2425.6878937287656,68.0,2.0,0.0
360,2430.2214275770793,66.0,2.0,0.0
361,2420.2657085372475,64.0,2.0,0.0
362,2395.639073937008,62.0,2.0,0.0
363,2356.289118996259,60.0,2.0,0.0
364,2307.639698930794,58.0,2.0,0.0
365,2250.1979595118814,56.0,2.0,0.0
366,2178.6869599132833,54.0,2.0,0.0
367,2093.4350287222355,52.0,2.0,0.0
368,1994.814159607511,50.0,2.0,0.0
369,1883.2152823234826,48.0,2.0,0.0
370,1759.0343525027959,46.0,2.0,0.0
371,1622.6724953178725,44.0,2.0,0.0
372,1474.5515967912331,42.0,2.0,0.0
373,1315.1448634987205,40.0,2.0,0.0
374,1145.0233291372622,38.0,2.0,0.0
375,964.928613326281,36.0,2.0,0.0
376,782.1917280229283,34.0,2.0,0.0
377,601.1648013982273,32.0,2.0,0.0
378,416.0098594814364,30.0,2.0,0.0
