NodeID,Corrected SVM (MPa),X,Y,Z
299,334.31271053151744,90.0,4.0,0.0
300,310.2764582858131,88.0,4.0,0.0
301,285.8376515130209,86.0,4.0,0.0
302,260.95508923459533,84.0,4.0,0.0
303,235.62671373664273,82.0,4.0,0.0
304,209.93857240707754,80.0,4.0,0.0
305,183.87202313639304,78.0,4.0,0.0
306,157.51195330225616,76.0,4.0,0.0
307,130.98625407624868,74.0,4.0,0.0
308,104.63712470600439,72.0,4.0,0.0
309,83.63734500308726,70.0,4.0,0.0
310,91.50922968156922,68.0,4.0,0.0
311,118.92768273669358,66.0,4.0,0.0
312,149.59726218049326,64.0,4.0,0.0
313,181.03287869430284,62.0,4.0,0.0
314,212.80789536831531,60.0,4.0,0.0
315,244.91368851210177,58.0,4.0,0.0
316,277.2948187510012,56.0,4.0,0.0
317,309.94034989486937,54.0,4.0,0.0
318,342.8455763936737,52.0,4.0,0.0
319,376.002002706288,50.0,4.0,0.0
320,409.4225329966381,48.0,4.0,0.0
321,443.0615163385213,46.0,4.0,0.0
322,476.89440333443036,44.0,4.0,0.0
323,510.89596589596545,42.0,4.0,0.0
324,545.0410425853381,40.0,4.0,0.0
325,579.3063039153778,38.0,4.0,0.0
326,613.6700524349051,36.0,4.0,0.0
327,648.1240330062578,34.0,4.0,0.0
328,682.6599896496268,32.0,4.0,0.0
329,717.2720156617931,30.0,4.0,0.0
330,751.9532108940396,28.0,4.0,0.0
331,786.6901932695531,26.0,4.0,0.0
332,814.4042296932872,24.0,4.0,0.0
333,817.206103170389,22.0,4.0,0.0
334,820.0945338735023,20.0,4.0,0.0
335,823.0522545034349,18.0,4.0,0.0
336,826.0486647162691,16.0,4.0,0.0
337,829.0341155309538,14.0,4.0,0.0
338,831.9087169964573,12.0,4.0,0.0
339,834.5636560049608,10.0,4.0,0.0
340,836.5836788005316,8.0,4.0,0.0
341,838.1380145189045,6.0,4.0,0.0
342,837.6040176247365,4.0,4.0,0.0
343,847.5043213979262,2.0,4.0,0.0
344,426.0223989990851,98.0,2.0,0.0
345,403.96094681083866,96.0,2.0,0.0
346,381.4217314360884,94.0,2.0,0.0
347,358.384093616649,92.0,2.0,0.0
348,334.85649552537876,90.0,2.0,0.0
349,310.85147654805576,88.0,2.0,0.0
350,286.4522821523871,86.0,2.0,0.0
351,261.62355351540987,84.0,2.0,0.0
352,236.3577276940789,82.0,2.0,0.0
353,210.75466056592143,80.0,2.0,0.0
354,184.78894418849723,78.0,2.0,0.0
355,158.5614775904951,76.0,2.0,0.0
356,132.21853163726723,74.0,2.0,0.0
357,106.07805300684836,72.0,2.0,0.0
358,83.65895770688878,70.0,2.0,0.0
359,92.83224963467607,68.0,2.0,0.0
360,120.31020292648978,66.0,2.0,0.0
361,150.79620887173073,64.0,2.0,0.0
362,182.03844327287442,62.0,2.0,0.0
363,213.66951721496275,60.0,2.0,0.0
364,245.67101172071816,58.0,2.0,0.0
