NodeID,S3_Min,X,Y,Z
273,-476.81307464879126,44.0,6.0,0.0
274,-510.8263971716601,42.0,6.0,0.0
275,-544.9819598444341,40.0,6.0,0.0
276,-579.2566145951628,38.0,6.0,0.0
277,-613.6322410630326,36.0,6.0,0.0
278,-648.0975564966906,34.0,6.0,0.0
279,-682.6467922759268,32.0,6.0,0.0
280,-717.2786765095907,30.0,6.0,0.0
281,-751.9934520763161,28.0,6.0,0.0
282,-786.7898916208785,26.0,6.0,0.0
283,-821.6614215244394,24.0,6.0,0.0
284,-856.5923920934656,22.0,6.0,0.0
285,-891.5538987518207,20.0,6.0,0.0
286,-926.496037619499,18.0,6.0,0.0
287,-961.344762590089,16.0,6.0,0.0
288,-995.9600770743311,14.0,6.0,0.0
289,-1030.2035555709808,12.0,6.0,0.0
290,-1063.572452725011,10.0,6.0,0.0
291,-1096.5745507748547,8.0,6.0,0.0
292,-1126.8636038326163,6.0,6.0,0.0
293,-1170.965971997537,4.0,6.0,0.0
294,-1223.9145985716073,2.0,6.0,0.0
295,-426.1432183104224,98.0,4.0,0.0
296,-403.84563329780906,96.0,4.0,0.0
297,-381.20315121776997,94.0,4.0,0.0
298,-358.1252568908148,92.0,4.0,0.0
299,-334.55571562269466,90.0,4.0,0.0
300,-310.5055866647064,88.0,4.0,0.0
301,-286.05790868276677,86.0,4.0,0.0
302,-261.16713020541465,84.0,4.0,0.0
303,-235.83128325909072,82.0,4.0,0.0
304,-210.1337535172526,80.0,4.0,0.0
305,-184.0555853930174,78.0,4.0,0.0
306,-157.68040804249364,76.0,4.0,0.0
307,-131.13543040502384,74.0,4.0,0.0
308,-104.76271379820437,72.0,4.0,0.0
309,-83.64846460002552,70.0,4.0,0.0
310,-90.05090083419668,68.0,4.0,0.0
311,-118.73601617328387,66.0,4.0,0.0
312,-149.41411434654435,64.0,4.0,0.0
313,-180.8646294903224,62.0,4.0,0.0
314,-212.650695795442,60.0,4.0,0.0
315,-244.7651744572314,58.0,4.0,0.0
316,-277.15348259958375,56.0,4.0,0.0
317,-309.8060645761335,54.0,4.0,0.0
318,-342.7191556333897,52.0,4.0,0.0
319,-375.88482318921325,50.0,4.0,0.0
320,-409.3169452008781,48.0,4.0,0.0
321,-442.9678301240469,46.0,4.0,0.0
322,-476.81307491673516,44.0,4.0,0.0
323,-510.82639729518746,42.0,4.0,0.0
324,-544.981946928541,40.0,4.0,0.0
325,-579.2566118429419,38.0,4.0,0.0
326,-613.632241348267,36.0,4.0,0.0
327,-648.0975552516986,34.0,4.0,0.0
328,-682.646792629728,32.0,4.0,0.0
329,-717.2786767856419,30.0,4.0,0.0
330,-751.9934522976635,28.0,4.0,0.0
331,-786.7898698051688,26.0,4.0,0.0
332,-821.6614218790539,24.0,4.0,0.0
333,-856.5923895175658,22.0,4.0,0.0
334,-891.5538962125083,20.0,4.0,0.0
335,-926.4960379281733,18.0,4.0,0.0
336,-961.3447422576003,16.0,4.0,0.0
337,-995.9600775346134,14.0,4.0,0.0
338,-1030.2035560004197,12.0,4.0,0.0
339,-1063.5724504583027,10.0,4.0,0.0
340,-1096.574551578294,8.0,4.0,0.0
341,-1126.8636047390514,6.0,4.0,0.0
342,-1170.9659729042605,4.0,4.0,0.0
343,-1223.9145784491288,2.0,4.0,0.0
344,-426.09909193758745,98.0,2.0,0.0
345,-404.0565605227447,96.0,2.0,0.0
346,-381.47426302711443,94.0,2.0,0.0
347,-358.41501198928745,92.0,2.0,0.0
348,-334.86411374186486,90.0,2.0,0.0
349,-310.8374709263895,88.0,2.0,0.0
