NodeID,Time_of_SVM_Max,X,Y,Z
474,0.01806,66.0,4.0,-2.0
475,0.01806,68.0,4.0,-2.0
476,0.01806,70.0,4.0,-2.0
477,0.01806,72.0,4.0,-2.0
478,0.01806,74.0,4.0,-2.0
479,0.01806,76.0,4.0,-2.0
480,0.01806,78.0,4.0,-2.0
481,0.01806,80.0,4.0,-2.0
482,0.01807,82.0,4.0,-2.0
483,0.01807,84.0,4.0,-2.0
484,0.01807,86.0,4.0,-2.0
485,0.01807,88.0,4.0,-2.0
486,0.01807,90.0,4.0,-2.0
487,0.01808,92.0,4.0,-2.0
488,0.01808,94.0,4.0,-2.0
489,0.01809,96.0,4.0,-2.0
490,0.01809,98.0,4.0,-2.0
491,0.01726,2.0,6.0,-2.0
492,0.01726,4.0,6.0,-2.0
493,0.01726,6.0,6.0,-2.0
494,0.01726,8.0,6.0,-2.0
495,0.01726,10.0,6.0,-2.0
496,0.01727,12.0,6.0,-2.0
497,0.01572,14.0,6.0,-2.0
498,0.01572,16.0,6.0,-2.0
499,0.01572,18.0,6.0,-2.0
500,0.01572,20.0,6.0,-2.0
501,0.01572,22.0,6.0,-2.0
502,0.01572,24.0,6.0,-2.0
503,0.01572,26.0,6.0,-2.0
504,0.01596,28.0,6.0,-2.0
505,0.0165,30.0,6.0,-2.0
506,0.01651,32.0,6.0,-2.0
507,0.01651,34.0,6.0,-2.0
508,0.01492,36.0,6.0,-2.0
509,0.01492,38.0,6.0,-2.0
510,0.01492,40.0,6.0,-2.0
511,0.01492,42.0,6.0,-2.0
512,0.01492,44.0,6.0,-2.0
513,0.01492,46.0,6.0,-2.0
514,0.01492,48.0,6.0,-2.0
515,0.01492,50.0,6.0,-2.0
516,0.01492,52.0,6.0,-2.0
517,0.01492,54.0,6.0,-2.0
518,0.01492,56.0,6.0,-2.0
519,0.01492,58.0,6.0,-2.0
520,0.01806,60.0,6.0,-2.0
521,0.01806,62.0,6.0,-2.0
522,0.01806,64.0,6.0,-2.0
523,0.01806,66.0,6.0,-2.0
524,0.01806,68.0,6.0,-2.0
525,0.01806,70.0,6.0,-2.0
526,0.01806,72.0,6.0,-2.0
527,0.01806,74.0,6.0,-2.0
528,0.01806,76.0,6.0,-2.0
529,0.01806,78.0,6.0,-2.0
530,0.01806,80.0,6.0,-2.0
531,0.01807,82.0,6.0,-2.0
532,0.01807,84.0,6.0,-2.0
533,0.01807,86.0,6.0,-2.0
534,0.01807,88.0,6.0,-2.0
535,0.01807,90.0,6.0,-2.0
536,0.01808,92.0,6.0,-2.0
537,0.01808,94.0,6.0,-2.0
538,0.01809,96.0,6.0,-2.0
539,0.01809,98.0,6.0,-2.0
540,0.01726,2.0,8.0,-2.0
541,0.01726,4.0,8.0,-2.0
542,0.01726,6.0,8.0,-2.0
543,0.01726,8.0,8.0,-2.0
544,0.01726,10.0,8.0,-2.0
545,0.01727,12.0,8.0,-2.0
546,0.01572,14.0,8.0,-2.0
547,0.01572,16.0,8.0,-2.0
548,0.01572,18.0,8.0,-2.0
549,0.01572,20.0,8.0,-2.0
550,0.01572,22.0,8.0,-2.0
551,0.01572,24.0,8.0,-2.0
552,0.01572,26.0,8.0,-2.0
553,0.01573,28.0,8.0,-2.0
554,0.0165,30.0,8.0,-2.0
555,0.01651,32.0,8.0,-2.0
556,0.01651,34.0,8.0,-2.0
557,0.01492,36.0,8.0,-2.0
558,0.01492,38.0,8.0,-2.0
559,0.01492,40.0,8.0,-2.0
560,0.01492,42.0,8.0,-2.0
561,0.01492,44.0,8.0,-2.0
562,0.01492,46.0,8.0,-2.0
